system:index,NDVI,year,.geo
6_12,-573.1882,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.464487640499553]}"
6_13,-573.1882,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.464487640499553]}"
6_14,-573.1882,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.464487640499553]}"
6_15,-578.3814,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.464487640499553]}"
7_0,-776.11383,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4652961242552602]}"
7_1,-750.5215,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4652961242552602]}"
7_2,-773.9772,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4652961242552602]}"
7_3,-755.3816,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4652961242552602]}"
7_4,-733.2806,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4650266296700245]}"
7_5,-735.7294,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4650266296700245]}"
7_6,-773.9772,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4650266296700245]}"
7_7,-751.65564,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4650266296700245]}"
7_8,-759.2857,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4647571350847888]}"
7_9,-773.9772,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4647571350847888]}"
7_10,-770.51416,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4647571350847888]}"
7_11,-770.436,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4647571350847888]}"
7_12,-763.1764,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.464487640499553]}"
7_13,-755.3539,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.464487640499553]}"
7_14,-766.8627,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.464487640499553]}"
7_15,-786.9612,1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.464487640499553]}"
8_0,-809.1228,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4652961242552602]}"
8_1,-778.03467,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4652961242552602]}"
8_2,-804.1819,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4652961242552602]}"
8_3,-835.5502,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4652961242552602]}"
8_4,-799.41003,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4650266296700245]}"
8_5,-784.041,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4650266296700245]}"
8_6,-804.1819,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4650266296700245]}"
8_7,-809.2467,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4650266296700245]}"
8_8,-775.0343,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4647571350847888]}"
8_9,-781.7698,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4647571350847888]}"
8_10,-782.5798,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4647571350847888]}"
8_11,-804.1819,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4647571350847888]}"
8_12,-758.6667,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.464487640499553]}"
8_13,-789.1683,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.464487640499553]}"
8_14,-805.9953,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.464487640499553]}"
8_15,-811.68207,1993,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.464487640499553]}"
9_0,-489.145,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4652961242552602]}"
9_1,-478.5789,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4652961242552602]}"
9_2,-441.86047,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4652961242552602]}"
9_3,-448.66385,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4652961242552602]}"
9_4,-496.5035,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4650266296700245]}"
9_5,-489.00806,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4650266296700245]}"
9_6,-448.66385,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4650266296700245]}"
9_7,-419.05856,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4650266296700245]}"
9_8,-481.92444,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4647571350847888]}"
9_9,-468.90927,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4647571350847888]}"
9_10,-489.2157,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4647571350847888]}"
9_11,-448.66385,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4647571350847888]}"
9_12,-530.92786,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.464487640499553]}"
9_13,-544.4939,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.464487640499553]}"
9_14,-489.2157,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.464487640499553]}"
9_15,-439.14874,1994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.464487640499553]}"
10_0,-798.5334,1995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4652961242552602]}"
10_1,-817.0478,1995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4652961242552602]}"
10_2,-799.86743,1995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4652961242552602]}"
10_3,-824.6557,1995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4652961242552602]}"
10_4,-790.6977,1995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4650266296700245]}"
10_5,-821.78217,1995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4650266296700245]}"
10_6,-772.1687,1995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4650266296700245]}"
